date,description,category,amount,type
2022-01-16,Gaming Purchase,Entertainment,47.69,Expense
2022-01-16,Electricity Bill,Utilities,831.79,Expense
2022-01-18,Monthly Salary,Salary,1746.91,Expense
2022-01-18,Breakfast,Food & Drink,1414.49,Expense
2022-01-21,Health Checkup,Health & Fitness,1996.26,Expense
2022-01-21,Clothing Purchase,Shopping,634.37,Expense
2022-01-23,Uber Ride,Travel,1224.05,Expense
2022-01-28,Gaming Purchase,Entertainment,1883.56,Expense
2022-02-01,Bus Travel,Travel,1412.75,Expense
2022-02-02,Employer Deposit,Salary,640.91,Expense
2022-02-05,Train Ticket,Travel,582.7,Expense
2022-02-05,Clothing Purchase,Shopping,1792.56,Expense
2022-02-06,Pharmacy Purchase,Health & Fitness,1909.67,Expense
2022-02-08,Uber Ride,Travel,93.71,Expense
2022-02-08,House Rent,Rent,699.26,Expense
2022-02-09,Train Ticket,Travel,1497.2,Expense
2022-02-10,Bus Travel,Travel,1866.72,Expense
2022-02-10,Water Bill,Utilities,227.36,Expense
2022-02-10,Gaming Purchase,Entertainment,492.49,Expense
2022-02-10,Gaming Purchase,Entertainment,1279.51,Expense
2022-02-14,Monthly Rent,Rent,1365.57,Expense
2022-02-17,Monthly Salary,Salary,960.12,Expense
2022-02-17,Lunch Outside,Food & Drink,1816.79,Expense
2022-02-21,Lunch Outside,Food & Drink,1827.33,Expense
2022-02-22,Mall Shopping,Shopping,1578.04,Expense
2022-03-01,Salary Credit,Salary,1779.63,Expense
2022-03-07,Food Delivery,Food & Drink,1475.87,Expense
2022-03-07,Movie Tickets,Entertainment,359.23,Expense
2022-03-12,Amazon Purchase,Shopping,1655.71,Expense
2022-03-14,House Rent,Rent,807.66,Expense
2022-03-17,Netflix Subscription,Entertainment,23.59,Expense
2022-03-18,Monthly Salary,Salary,1509.98,Expense
2022-03-18,Bus Travel,Travel,1169.1,Expense
2022-03-18,Uber Ride,Travel,1310.83,Expense
2022-03-20,Lunch Outside,Food & Drink,1338.89,Expense
2022-03-20,Gas Bill,Utilities,816.78,Expense
2022-03-22,Train Ticket,Travel,1383.68,Expense
2022-03-23,Taxi Fare,Travel,741.41,Expense
2022-03-23,Mobile Recharge,Utilities,961.58,Expense
2022-03-24,Gym Membership,Health & Fitness,837.53,Expense
2022-03-25,Monthly Salary,Salary,1517.13,Expense
2022-03-26,Movie Tickets,Entertainment,1526.1,Expense
2022-03-27,Apartment Rent,Rent,1055.76,Expense
2022-03-28,Pharmacy Purchase,Health & Fitness,165.42,Expense
2022-03-28,Food Delivery,Food & Drink,1659.26,Expense
2022-03-28,Gaming Purchase,Entertainment,1149.68,Expense
2022-03-29,Netflix Subscription,Entertainment,1436.67,Expense
2022-03-29,Monthly Salary,Salary,1619.3,Expense
2022-03-31,Amazon Purchase,Shopping,919.03,Expense
2022-03-31,Amazon Purchase,Shopping,516.37,Expense
2022-04-01,Restaurant Dinner,Food & Drink,1869.82,Expense
2022-04-02,Internet Bill,Utilities,1540.25,Expense
2022-04-02,Grocery Shopping,Shopping,755.18,Expense
2022-04-03,Employer Deposit,Salary,1740.54,Expense
2022-04-03,Grocery Shopping,Shopping,169.7,Expense
2022-04-04,Electricity Bill,Utilities,1310.53,Expense
2022-04-05,Mobile Recharge,Utilities,1985.77,Expense
2022-04-08,Electricity Bill,Utilities,1458.44,Expense
2022-04-09,Restaurant Dinner,Food & Drink,1514.8,Expense
2022-04-09,Salary Credit,Salary,1350.26,Expense
2022-04-10,Grocery Shopping,Shopping,1648.49,Expense
2022-04-10,Pharmacy Purchase,Health & Fitness,318.69,Expense
2022-04-18,Amazon Purchase,Shopping,1233.7,Expense
2022-04-18,Lunch Outside,Food & Drink,488.93,Expense
2022-04-22,Breakfast,Food & Drink,497.02,Expense
2022-04-24,Lunch Outside,Food & Drink,288.87,Expense
2022-04-24,Netflix Subscription,Entertainment,1633.41,Expense
2022-04-29,Pharmacy Purchase,Health & Fitness,1159.17,Expense
2022-04-30,Medical Expense,Health & Fitness,481.44,Expense
2022-05-02,Gaming Purchase,Entertainment,832.98,Expense
2022-05-02,Gas Bill,Utilities,1255.73,Expense
2022-05-03,Employer Deposit,Salary,103.3,Expense
2022-05-05,Mall Shopping,Shopping,1573.75,Expense
2022-05-05,Amazon Purchase,Shopping,822.44,Expense
2022-05-06,Water Bill,Utilities,1511.29,Expense
2022-05-07,Netflix Subscription,Entertainment,608.47,Expense
2022-05-07,Monthly Salary,Salary,1830.33,Expense
2022-05-07,Mall Shopping,Shopping,1119.0,Expense
2022-05-08,Apartment Rent,Rent,1845.23,Expense
2022-05-09,Apartment Rent,Rent,1075.91,Expense
2022-05-09,Lunch Outside,Food & Drink,544.24,Expense
2022-05-11,Cafe Visit,Food & Drink,1748.5,Expense
2022-05-13,Gym Membership,Health & Fitness,613.34,Expense
2022-05-14,Concert Ticket,Entertainment,1874.95,Expense
2022-05-19,House Rent,Rent,1496.29,Expense
2022-05-19,Gaming Purchase,Entertainment,1394.3,Expense
2022-05-20,Mall Shopping,Shopping,1831.1,Expense
2022-05-20,Bus Travel,Travel,767.52,Expense
2022-05-22,Health Checkup,Health & Fitness,623.76,Expense
2022-05-23,Employer Deposit,Salary,937.35,Expense
2022-05-24,Monthly Salary,Salary,1525.64,Expense
2022-05-24,Gaming Purchase,Entertainment,747.7,Expense
2022-05-25,Netflix Subscription,Entertainment,1485.09,Expense
2022-05-29,Concert Ticket,Entertainment,1003.61,Expense
2022-05-29,Pharmacy Purchase,Health & Fitness,522.08,Expense
2022-05-30,Salary Credit,Salary,927.05,Expense
2022-05-30,Health Checkup,Health & Fitness,346.84,Expense
2022-05-31,Employer Deposit,Salary,376.26,Expense
2022-06-01,Food Delivery,Food & Drink,1052.65,Expense
2022-06-01,House Rent,Rent,1890.92,Expense
2022-06-04,Breakfast,Food & Drink,830.66,Expense
2022-06-04,Netflix Subscription,Entertainment,145.26,Expense
2022-06-07,Breakfast,Food & Drink,1239.49,Expense
2022-06-07,Employer Deposit,Salary,1321.98,Expense
2022-06-12,Restaurant Dinner,Food & Drink,1009.41,Expense
2022-06-12,Clothing Purchase,Shopping,1614.27,Expense
2022-06-12,Apartment Rent,Rent,1836.92,Expense
2022-06-13,Gaming Purchase,Entertainment,391.94,Expense
2022-06-17,Gym Membership,Health & Fitness,541.98,Expense
2022-06-17,Pharmacy Purchase,Health & Fitness,1919.0,Expense
2022-06-18,Concert Ticket,Entertainment,1980.56,Expense
2022-06-19,Apartment Rent,Rent,1310.93,Expense
2022-06-20,Restaurant Dinner,Food & Drink,196.07,Expense
2022-06-21,Employer Deposit,Salary,121.67,Expense
2022-06-23,Clothing Purchase,Shopping,1293.37,Expense
2022-06-23,Apartment Rent,Rent,1790.63,Expense
2022-06-25,Concert Ticket,Entertainment,430.72,Expense
2022-06-25,Monthly Salary,Salary,549.48,Expense
2022-06-26,Taxi Fare,Travel,1799.63,Expense
2022-06-26,Food Delivery,Food & Drink,366.92,Expense
2022-06-30,Restaurant Dinner,Food & Drink,1923.32,Expense
2022-07-01,Grocery Shopping,Shopping,1858.46,Expense
2022-07-02,Netflix Subscription,Entertainment,1137.72,Expense
2022-07-04,Pharmacy Purchase,Health & Fitness,773.85,Expense
2022-07-04,House Rent,Rent,1006.58,Expense
2022-07-04,Food Delivery,Food & Drink,204.39,Expense
2022-07-05,Apartment Rent,Rent,687.78,Expense
2022-07-06,Grocery Shopping,Shopping,1938.15,Expense
2022-07-13,Train Ticket,Travel,1569.26,Expense
2022-07-17,Netflix Subscription,Entertainment,718.06,Expense
2022-07-17,Amazon Purchase,Shopping,379.62,Expense
2022-07-17,Grocery Shopping,Shopping,180.53,Expense
2022-07-18,Movie Tickets,Entertainment,1429.09,Expense
2022-07-19,Water Bill,Utilities,1481.91,Expense
2022-07-20,Monthly Rent,Rent,192.13,Expense
2022-07-22,Salary Credit,Salary,726.24,Expense
2022-07-25,Gas Bill,Utilities,183.72,Expense
2022-07-27,Mall Shopping,Shopping,215.55,Expense
2022-07-27,Food Delivery,Food & Drink,590.78,Expense
2022-07-27,Monthly Rent,Rent,1452.44,Expense
2022-07-28,Gaming Purchase,Entertainment,1148.2,Expense
2022-07-30,Monthly Rent,Rent,342.74,Expense
2022-07-31,Taxi Fare,Travel,973.62,Expense
2022-08-02,Monthly Salary,Salary,1191.67,Expense
2022-08-04,Amazon Purchase,Shopping,671.11,Expense
2022-08-06,Pharmacy Purchase,Health & Fitness,886.04,Expense
2022-08-07,Internet Bill,Utilities,607.87,Expense
2022-08-12,Netflix Subscription,Entertainment,963.23,Expense
2022-08-15,Salary Credit,Salary,1935.85,Expense
2022-08-15,Health Checkup,Health & Fitness,758.35,Expense
2022-08-16,Grocery Shopping,Shopping,736.38,Expense
2022-08-16,Netflix Subscription,Entertainment,1188.53,Expense
2022-08-17,Food Delivery,Food & Drink,1906.48,Expense
2022-08-18,Movie Tickets,Entertainment,882.53,Expense
2022-08-19,Apartment Rent,Rent,1639.74,Expense
2022-08-21,Grocery Shopping,Shopping,1349.23,Expense
2022-08-22,Electricity Bill,Utilities,1433.32,Expense
2022-08-22,Monthly Rent,Rent,903.64,Expense
2022-08-23,Grocery Shopping,Shopping,1073.39,Expense
2022-08-24,Clothing Purchase,Shopping,1091.85,Expense
2022-08-26,Medical Expense,Health & Fitness,1406.25,Expense
2022-08-26,Apartment Rent,Rent,227.65,Expense
2022-08-28,Health Checkup,Health & Fitness,341.01,Expense
2022-08-29,Clothing Purchase,Shopping,1933.95,Expense
2022-08-30,Clothing Purchase,Shopping,220.83,Expense
2022-08-31,Netflix Subscription,Entertainment,897.1,Expense
2022-09-01,Internet Bill,Utilities,696.49,Expense
2022-09-03,House Rent,Rent,240.98,Expense
2022-09-03,Internet Bill,Utilities,703.17,Expense
2022-09-03,Gaming Purchase,Entertainment,1047.02,Expense
2022-09-04,Apartment Rent,Rent,881.95,Expense
2022-09-04,Pharmacy Purchase,Health & Fitness,143.68,Expense
2022-09-06,Monthly Rent,Rent,1357.51,Expense
2022-09-10,Employer Deposit,Salary,471.39,Expense
2022-09-11,Gas Bill,Utilities,380.91,Expense
2022-09-11,Amazon Purchase,Shopping,68.09,Expense
2022-09-12,Concert Ticket,Entertainment,904.65,Expense
2022-09-14,Restaurant Dinner,Food & Drink,1412.42,Expense
2022-09-15,House Rent,Rent,1158.92,Expense
2022-09-15,Gas Bill,Utilities,737.93,Expense
2022-09-18,Monthly Salary,Salary,1060.15,Expense
2022-09-19,Amazon Purchase,Shopping,1226.5,Expense
2022-09-19,Gym Membership,Health & Fitness,710.45,Expense
2022-09-21,Water Bill,Utilities,1629.34,Expense
2022-09-23,Taxi Fare,Travel,1838.18,Expense
2022-09-26,Electricity Bill,Utilities,633.24,Expense
2022-09-26,Monthly Rent,Rent,374.26,Expense
2022-09-28,Grocery Shopping,Shopping,842.3,Expense
2022-09-30,Internet Bill,Utilities,382.33,Expense
2022-10-01,Cafe Visit,Food & Drink,1732.39,Expense
2022-10-02,Employer Deposit,Salary,281.7,Expense
2022-10-03,Employer Deposit,Salary,824.18,Expense
2022-10-04,Monthly Salary,Salary,982.51,Expense
2022-10-05,Train Ticket,Travel,457.44,Expense
2022-10-08,Monthly Salary,Salary,1135.64,Expense
2022-10-10,Monthly Salary,Salary,1103.96,Expense
2022-10-12,Gym Membership,Health & Fitness,1088.67,Expense
2022-10-13,Employer Deposit,Salary,1097.24,Expense
2022-10-19,Monthly Rent,Rent,1474.62,Expense
2022-10-19,Netflix Subscription,Entertainment,602.44,Expense
2022-10-20,Employer Deposit,Salary,533.0,Expense
2022-10-21,House Rent,Rent,883.75,Expense
2022-10-22,Gaming Purchase,Entertainment,427.66,Expense
2022-10-23,Medical Expense,Health & Fitness,1723.49,Expense
2022-10-25,Grocery Shopping,Shopping,340.3,Expense
2022-10-30,Medical Expense,Health & Fitness,1069.24,Expense
2022-10-31,Internet Bill,Utilities,654.07,Expense
2022-11-03,Uber Ride,Travel,1149.74,Expense
2022-11-04,Monthly Rent,Rent,279.82,Expense
2022-11-05,Grocery Shopping,Shopping,1838.35,Expense
2022-11-07,Gas Bill,Utilities,1405.84,Expense
2022-11-09,Clothing Purchase,Shopping,984.02,Expense
2022-11-10,Taxi Fare,Travel,1259.35,Expense
2022-11-13,Apartment Rent,Rent,1270.92,Expense
2022-11-14,Monthly Rent,Rent,811.67,Expense
2022-11-14,Gym Membership,Health & Fitness,914.84,Expense
2022-11-15,Breakfast,Food & Drink,1739.13,Expense
2022-11-17,Monthly Rent,Rent,1464.55,Expense
2022-11-17,Health Checkup,Health & Fitness,1701.71,Expense
2022-11-18,Grocery Shopping,Shopping,443.48,Expense
2022-11-19,Concert Ticket,Entertainment,994.48,Expense
2022-11-21,Train Ticket,Travel,682.13,Expense
2022-11-22,Monthly Salary,Salary,1578.72,Expense
2022-11-26,Restaurant Dinner,Food & Drink,101.43,Expense
2022-11-26,Employer Deposit,Salary,42.4,Expense
2022-11-28,Gas Bill,Utilities,888.16,Expense
2022-12-01,Mobile Recharge,Utilities,1765.47,Expense
2022-12-03,Taxi Fare,Travel,195.75,Expense
2022-12-04,Monthly Rent,Rent,749.97,Expense
2022-12-05,Mobile Recharge,Utilities,113.06,Expense
2022-12-05,Gaming Purchase,Entertainment,864.17,Expense
2022-12-12,Monthly Rent,Rent,274.07,Expense
2022-12-13,Monthly Salary,Salary,28.48,Expense
2022-12-15,House Rent,Rent,1976.43,Expense
2022-12-16,Electricity Bill,Utilities,960.62,Expense
2022-12-18,House Rent,Rent,1464.22,Expense
2022-12-28,Internet Bill,Utilities,771.61,Expense
2022-12-30,Internet Bill,Utilities,1286.74,Expense
2022-12-31,Monthly Rent,Rent,1065.71,Expense
2023-01-04,Netflix Subscription,Entertainment,1259.88,Expense
2023-01-06,Apartment Rent,Rent,1794.22,Expense
2023-01-10,Mall Shopping,Shopping,635.86,Expense
2023-01-13,Taxi Fare,Travel,1560.15,Expense
2023-01-15,Taxi Fare,Travel,418.84,Expense
2023-01-16,Concert Ticket,Entertainment,1498.21,Expense
2023-01-17,Lunch Outside,Food & Drink,1569.77,Expense
2023-01-18,Gaming Purchase,Entertainment,994.83,Expense
2023-01-19,Breakfast,Food & Drink,1973.9,Expense
2023-01-19,Gas Bill,Utilities,779.81,Expense
2023-01-19,Clothing Purchase,Shopping,737.17,Expense
2023-01-19,Salary Credit,Salary,1909.36,Expense
2023-01-20,Breakfast,Food & Drink,1178.85,Expense
2023-01-21,Grocery Shopping,Shopping,1018.16,Expense
2023-01-22,Grocery Shopping,Shopping,852.91,Expense
2023-01-23,Internet Bill,Utilities,562.16,Expense
2023-01-23,Concert Ticket,Entertainment,1948.88,Expense
2023-01-24,Monthly Rent,Rent,627.24,Expense
2023-01-24,Netflix Subscription,Entertainment,125.23,Expense
2023-01-24,Food Delivery,Food & Drink,625.49,Expense
2023-01-24,Gas Bill,Utilities,247.69,Expense
2023-01-24,Breakfast,Food & Drink,336.03,Expense
2023-01-25,Bus Travel,Travel,342.26,Expense
2023-01-27,Lunch Outside,Food & Drink,676.67,Expense
2023-01-27,House Rent,Rent,533.27,Expense
2023-01-28,Monthly Rent,Rent,997.33,Expense
2023-01-29,Restaurant Dinner,Food & Drink,1004.22,Expense
2023-01-29,Medical Expense,Health & Fitness,323.05,Expense
2023-01-30,Monthly Rent,Rent,464.52,Expense
2023-01-31,Food Delivery,Food & Drink,1718.79,Expense
2023-02-01,Water Bill,Utilities,366.13,Expense
2023-02-02,Breakfast,Food & Drink,1110.2,Expense
2023-02-03,Mall Shopping,Shopping,456.79,Expense
2023-02-06,Medical Expense,Health & Fitness,549.8,Expense
2023-02-07,Cafe Visit,Food & Drink,366.9,Expense
2023-02-08,Breakfast,Food & Drink,1908.62,Expense
2023-02-09,Bus Travel,Travel,661.33,Expense
2023-02-12,Cafe Visit,Food & Drink,744.15,Expense
2023-02-13,Bus Travel,Travel,1481.76,Expense
2023-02-15,Gym Membership,Health & Fitness,1187.46,Expense
2023-02-16,Gaming Purchase,Entertainment,1467.6,Expense
2023-02-18,Gaming Purchase,Entertainment,309.63,Expense
2023-02-20,Restaurant Dinner,Food & Drink,473.67,Expense
2023-02-20,Cafe Visit,Food & Drink,1902.47,Expense
2023-02-24,Restaurant Dinner,Food & Drink,1945.39,Expense
2023-02-26,Health Checkup,Health & Fitness,922.33,Expense
2023-02-28,House Rent,Rent,1015.8,Expense
2023-03-03,Mall Shopping,Shopping,158.91,Expense
2023-03-03,Amazon Purchase,Shopping,1328.26,Expense
2023-03-05,Mall Shopping,Shopping,1404.44,Expense
2023-03-05,Health Checkup,Health & Fitness,910.99,Expense
2023-03-07,Gaming Purchase,Entertainment,280.86,Expense
2023-03-08,Monthly Rent,Rent,319.27,Expense
2023-03-08,Health Checkup,Health & Fitness,1929.62,Expense
2023-03-08,Bus Travel,Travel,932.06,Expense
2023-03-10,Monthly Rent,Rent,323.65,Expense
2023-03-10,Lunch Outside,Food & Drink,437.89,Expense
2023-03-12,Mobile Recharge,Utilities,191.51,Expense
2023-03-13,Health Checkup,Health & Fitness,798.53,Expense
2023-03-13,Gas Bill,Utilities,71.85,Expense
2023-03-15,Employer Deposit,Salary,1116.35,Expense
2023-03-15,Monthly Rent,Rent,929.47,Expense
2023-03-16,Mobile Recharge,Utilities,251.69,Expense
2023-03-18,House Rent,Rent,1168.82,Expense
2023-03-21,House Rent,Rent,53.38,Expense
2023-03-24,Clothing Purchase,Shopping,1369.59,Expense
2023-03-29,Salary Credit,Salary,1768.01,Expense
2023-03-31,Salary Credit,Salary,131.35,Expense
2023-03-31,Mobile Recharge,Utilities,844.28,Expense
2023-04-01,Gaming Purchase,Entertainment,1265.2,Expense
2023-04-01,Breakfast,Food & Drink,1978.91,Expense
2023-04-04,Health Checkup,Health & Fitness,964.57,Expense
2023-04-07,Gym Membership,Health & Fitness,1826.23,Expense
2023-04-08,Grocery Shopping,Shopping,548.17,Expense
2023-04-10,Bus Travel,Travel,126.6,Expense
2023-04-10,Health Checkup,Health & Fitness,1536.02,Expense
2023-04-13,Gas Bill,Utilities,209.27,Expense
2023-04-15,Taxi Fare,Travel,1072.04,Expense
2023-04-16,Cafe Visit,Food & Drink,1530.46,Expense
2023-04-20,Clothing Purchase,Shopping,716.06,Expense
2023-04-20,Water Bill,Utilities,360.44,Expense
2023-04-21,Health Checkup,Health & Fitness,1828.82,Expense
2023-04-22,Gaming Purchase,Entertainment,1675.03,Expense
2023-04-23,Employer Deposit,Salary,1088.83,Expense
2023-05-02,Lunch Outside,Food & Drink,670.15,Expense
2023-05-02,Gas Bill,Utilities,688.11,Expense
2023-05-05,Medical Expense,Health & Fitness,1921.51,Expense
2023-05-05,Amazon Purchase,Shopping,1176.17,Expense
2023-05-07,Health Checkup,Health & Fitness,281.54,Expense
2023-05-14,Gas Bill,Utilities,1417.29,Expense
2023-05-14,Gym Membership,Health & Fitness,454.24,Expense
2023-05-14,Internet Bill,Utilities,762.98,Expense
2023-05-15,Taxi Fare,Travel,263.42,Expense
2023-05-15,Clothing Purchase,Shopping,1703.01,Expense
2023-05-16,Food Delivery,Food & Drink,372.34,Expense
2023-05-17,Gaming Purchase,Entertainment,1282.9,Expense
2023-05-19,Monthly Rent,Rent,483.61,Expense
2023-05-20,Water Bill,Utilities,1276.01,Expense
2023-05-20,Medical Expense,Health & Fitness,898.79,Expense
2023-05-20,Concert Ticket,Entertainment,1389.42,Expense
2023-05-22,Apartment Rent,Rent,1443.62,Expense
2023-05-22,Clothing Purchase,Shopping,991.23,Expense
2023-05-25,Amazon Purchase,Shopping,211.84,Expense
2023-05-28,Gaming Purchase,Entertainment,333.69,Expense
2023-06-03,Monthly Rent,Rent,682.52,Expense
2023-06-04,Monthly Salary,Salary,1411.96,Expense
2023-06-05,Gas Bill,Utilities,1218.56,Expense
2023-06-08,Cafe Visit,Food & Drink,211.5,Expense
2023-06-08,Concert Ticket,Entertainment,824.47,Expense
2023-06-09,Uber Ride,Travel,1324.59,Expense
2023-06-09,Monthly Rent,Rent,108.77,Expense
2023-06-10,Employer Deposit,Salary,315.64,Expense
2023-06-10,Grocery Shopping,Shopping,184.38,Expense
2023-06-13,Employer Deposit,Salary,407.35,Expense
2023-06-16,Employer Deposit,Salary,1689.1,Expense
2023-06-16,Clothing Purchase,Shopping,947.18,Expense
2023-06-17,Bus Travel,Travel,191.36,Expense
2023-06-17,Electricity Bill,Utilities,748.33,Expense
2023-06-19,Internet Bill,Utilities,897.09,Expense
2023-06-21,Monthly Salary,Salary,534.17,Expense
2023-06-22,Lunch Outside,Food & Drink,310.75,Expense
2023-06-22,Apartment Rent,Rent,180.56,Expense
2023-06-23,Grocery Shopping,Shopping,1941.7,Expense
2023-06-25,Cafe Visit,Food & Drink,1683.19,Expense
2023-06-25,Clothing Purchase,Shopping,1931.6,Expense
2023-06-25,Employer Deposit,Salary,1149.7,Expense
2023-06-26,Taxi Fare,Travel,167.12,Expense
2023-06-30,Breakfast,Food & Drink,1009.18,Expense
2023-07-01,Water Bill,Utilities,249.36,Expense
2023-07-02,Internet Bill,Utilities,1898.63,Expense
2023-07-06,Grocery Shopping,Shopping,411.82,Expense
2023-07-07,Mobile Recharge,Utilities,1669.88,Expense
2023-07-07,House Rent,Rent,183.18,Expense
2023-07-10,Pharmacy Purchase,Health & Fitness,1714.68,Expense
2023-07-10,Cafe Visit,Food & Drink,1575.24,Expense
2023-07-10,Clothing Purchase,Shopping,233.91,Expense
2023-07-11,Monthly Rent,Rent,1573.63,Expense
2023-07-13,Health Checkup,Health & Fitness,1757.01,Expense
2023-07-15,Salary Credit,Salary,1148.33,Expense
2023-07-15,Mobile Recharge,Utilities,558.07,Expense
2023-07-15,Gym Membership,Health & Fitness,1384.12,Expense
2023-07-16,Breakfast,Food & Drink,682.35,Expense
2023-07-17,Taxi Fare,Travel,567.89,Expense
2023-07-18,Monthly Rent,Rent,1945.27,Expense
2023-07-19,Taxi Fare,Travel,1948.7,Expense
2023-07-19,Health Checkup,Health & Fitness,546.15,Expense
2023-07-20,Apartment Rent,Rent,383.99,Expense
2023-07-21,Mall Shopping,Shopping,1484.48,Expense
2023-07-23,Health Checkup,Health & Fitness,1643.82,Expense
2023-07-25,Mobile Recharge,Utilities,140.58,Expense
2023-07-26,Clothing Purchase,Shopping,279.94,Expense
2023-07-27,Lunch Outside,Food & Drink,355.74,Expense
2023-07-27,Movie Tickets,Entertainment,1675.58,Expense
2023-07-30,Monthly Salary,Salary,110.61,Expense
2023-08-01,Concert Ticket,Entertainment,555.22,Expense
2023-08-04,Clothing Purchase,Shopping,1274.47,Expense
2023-08-07,Monthly Salary,Salary,363.39,Expense
2023-08-07,Medical Expense,Health & Fitness,695.06,Expense
2023-08-09,Taxi Fare,Travel,1500.43,Expense
2023-08-09,Train Ticket,Travel,64.63,Expense
2023-08-10,Gaming Purchase,Entertainment,545.48,Expense
2023-08-11,Food Delivery,Food & Drink,1730.61,Expense
2023-08-16,Lunch Outside,Food & Drink,953.45,Expense
2023-08-17,Uber Ride,Travel,1428.35,Expense
2023-08-21,Bus Travel,Travel,853.38,Expense
2023-08-22,Pharmacy Purchase,Health & Fitness,923.41,Expense
2023-08-23,Taxi Fare,Travel,1357.62,Expense
2023-08-25,Mall Shopping,Shopping,1173.13,Expense
2023-08-30,Monthly Rent,Rent,968.66,Expense
2023-08-30,Uber Ride,Travel,1284.78,Expense
2023-08-30,Train Ticket,Travel,1315.68,Expense
2023-08-30,Taxi Fare,Travel,384.84,Expense
2023-09-01,Concert Ticket,Entertainment,1800.38,Expense
2023-09-01,Clothing Purchase,Shopping,1324.46,Expense
2023-09-03,Lunch Outside,Food & Drink,1314.25,Expense
2023-09-04,Taxi Fare,Travel,1814.75,Expense
2023-09-04,Restaurant Dinner,Food & Drink,1170.22,Expense
2023-09-04,Concert Ticket,Entertainment,692.9,Expense
2023-09-07,Monthly Salary,Salary,1813.99,Expense
2023-09-10,Taxi Fare,Travel,1692.38,Expense
2023-09-11,Water Bill,Utilities,594.63,Expense
2023-09-11,Bus Travel,Travel,1453.12,Expense
2023-09-12,Internet Bill,Utilities,1894.38,Expense
2023-09-12,Monthly Rent,Rent,452.28,Expense
2023-09-13,Taxi Fare,Travel,846.74,Expense
2023-09-14,Health Checkup,Health & Fitness,528.51,Expense
2023-09-14,House Rent,Rent,946.37,Expense
2023-09-14,Apartment Rent,Rent,949.72,Expense
2023-09-15,Amazon Purchase,Shopping,117.58,Expense
2023-09-16,Internet Bill,Utilities,1984.77,Expense
2023-09-16,Salary Credit,Salary,295.02,Expense
2023-09-21,Mobile Recharge,Utilities,1560.09,Expense
2023-09-21,Mobile Recharge,Utilities,633.69,Expense
2023-09-24,Water Bill,Utilities,1156.8,Expense
2023-09-29,Mall Shopping,Shopping,812.75,Expense
2023-10-03,Mall Shopping,Shopping,19.29,Expense
2023-10-04,Gym Membership,Health & Fitness,1900.64,Expense
2023-10-04,Gaming Purchase,Entertainment,45.65,Expense
2023-10-06,Health Checkup,Health & Fitness,631.06,Expense
2023-10-08,Salary Credit,Salary,1458.39,Expense
2023-10-09,Medical Expense,Health & Fitness,872.99,Expense
2023-10-09,Mobile Recharge,Utilities,692.04,Expense
2023-10-11,Pharmacy Purchase,Health & Fitness,1502.73,Expense
2023-10-14,Gas Bill,Utilities,430.27,Expense
2023-10-15,Cafe Visit,Food & Drink,756.63,Expense
2023-10-15,Lunch Outside,Food & Drink,1191.91,Expense
2023-10-17,House Rent,Rent,1099.09,Expense
2023-10-27,Water Bill,Utilities,418.93,Expense
2023-10-27,Food Delivery,Food & Drink,609.22,Expense
2023-10-29,Train Ticket,Travel,1249.37,Expense
2023-10-30,Amazon Purchase,Shopping,1663.0,Expense
2023-11-08,Movie Tickets,Entertainment,722.26,Expense
2023-11-08,Internet Bill,Utilities,88.42,Expense
2023-11-08,Concert Ticket,Entertainment,1379.53,Expense
2023-11-09,Gaming Purchase,Entertainment,15.45,Expense
2023-11-09,Monthly Rent,Rent,1672.11,Expense
2023-11-11,Internet Bill,Utilities,1899.4,Expense
2023-11-11,Apartment Rent,Rent,1449.89,Expense
2023-11-14,Taxi Fare,Travel,535.61,Expense
2023-11-15,Health Checkup,Health & Fitness,1605.18,Expense
2023-11-17,House Rent,Rent,199.05,Expense
2023-11-18,Cafe Visit,Food & Drink,29.25,Expense
2023-11-21,Employer Deposit,Salary,1910.63,Expense
2023-11-22,Apartment Rent,Rent,751.52,Expense
2023-11-23,Apartment Rent,Rent,807.55,Expense
2023-11-23,Train Ticket,Travel,1673.06,Expense
2023-11-26,Employer Deposit,Salary,1601.8,Expense
2023-11-26,Internet Bill,Utilities,234.98,Expense
2023-11-26,Lunch Outside,Food & Drink,1963.32,Expense
2023-11-26,Monthly Rent,Rent,837.9,Expense
2023-11-27,Monthly Salary,Salary,370.71,Expense
2023-11-27,Gym Membership,Health & Fitness,1226.6,Expense
2023-11-28,Electricity Bill,Utilities,971.33,Expense
2023-11-28,Mall Shopping,Shopping,886.97,Expense
2023-12-05,Netflix Subscription,Entertainment,1956.01,Expense
2023-12-05,Health Checkup,Health & Fitness,1043.01,Expense
2023-12-06,Monthly Rent,Rent,871.37,Expense
2023-12-08,Employer Deposit,Salary,698.04,Expense
2023-12-09,Grocery Shopping,Shopping,305.82,Expense
2023-12-09,Food Delivery,Food & Drink,33.17,Expense
2023-12-10,Employer Deposit,Salary,1705.22,Expense
2023-12-11,Apartment Rent,Rent,1505.35,Expense
2023-12-13,Medical Expense,Health & Fitness,1940.59,Expense
2023-12-14,Gaming Purchase,Entertainment,166.87,Expense
2023-12-18,Employer Deposit,Salary,185.16,Expense
2023-12-20,Gym Membership,Health & Fitness,246.23,Expense
2023-12-21,Food Delivery,Food & Drink,214.26,Expense
2023-12-22,Restaurant Dinner,Food & Drink,1653.56,Expense
